,name,price,deal,shop,loc
11,Gionee/金立F12Pro新款官方旗舰正品智能手机安卓学生价千元游戏机全面屏4G全网通送oppo小米鼠vivo耳机,799.00元,1827人付款,赛尔丰数码专营店,广东 深圳
12,【当天发]Huawei/华为畅享20 Plus 5G手机官方旗舰店nova7新品p40pro官网8se直降mate40正品30荣耀10学生机9x,2299.00元,3211人付款,京合旗舰店,安徽 合肥
13,【顺丰发货，分期免息】华为畅享20plus 5g手机官方旗舰店畅想20plus畅享20puls畅想20 10pulas,2299.00元,863人付款,众宇通数码专营店,北京
14,【当天发24期立减100】Huawei/华为 Mate 40 pro 5G手机官方旗舰店正品mate40pro新品p40直降mate50保时捷M40,7399.00元,1207人付款,同步飞扬数码专营店,广东 深圳
15,Huawei/华为 Mate 40 pro5G旗舰手机官方正品保时捷限量版mate40,6499.00元,340人付款,佳欣共创科技,广东 深圳
16,【限时抢购】华为 HUAWEI nova 7 SE 5G 活力版 6400万高清AI四摄 5g智能华为手机官方旗舰店,2299.00元,1.0万+人付款,华为官方旗舰店,广东 深圳
17,5G新品SAILFX12Pro骁龙865全网通5g学生价游戏智能手机水滴全面屏千百元曲面新上市送小米鼠oppovivo耳机,969.00元,1334人付款,硕王捷信时代专卖店,广东 深圳
18,当天发【送好礼】Huawei/华为Nova 7 SE 5G手机官方正品mate直降nve6P活力板40pro荣耀p30旗舰店8全网通nowa,2499.00元,3011人付款,深蓝港数码旗舰店,广东 深圳
19,【当天发】华为honor/荣耀 荣耀20青春版手机官方旗舰店新款v30pro正品20pro/i/s非5g9x官网10x新品30s,1199.00元,1789人付款,京合旗舰店,安徽 合肥
20,【限时抢购】Huawei/华为畅享20 Plus 5G超级快充手机华为手机华为官方旗舰店畅享20plus5g,2299.00元,7500+人付款,华为官方旗舰店,广东 深圳
21,直降600元/官网HUAWEI 华为畅享10 plus 手机官方旗舰店正品畅想9,1278.00元,3279人付款,龙通店,广东 深圳
22,上海中兴守护宝F11Pro学生价游戏智能手机八核128G水滴屏4G全网通千百元官方旗舰送老人老年oppo小米耳机,688.00元,1908人付款,贝之心数码专营店,广东 深圳
23,咨询领券【送原装耳机】华为HONOR 荣耀30S 5G手机旗舰店华为x10荣耀30pro华为9x4pro荣耀30s直降全面屏,2399.00元,868人付款,三际数码官方旗舰店,山东 济南
24,咨询优惠【送原装耳机】华为HONOR 荣耀X10 5G手机全网通荣耀10x系列30s官方旗舰x10max青春x10pro直降全面屏,2199.00元,1204人付款,三际数码官方旗舰店,山东 济南
25,顺丰速发【领券立减】Huawei/华为畅享10e 官方旗舰店正品手机畅想官网128g学生千元机老人智能10 s plus荣耀,1059.00元,944人付款,博海宇通数码专营店,北京
26,当天发货【6期免息】Huawei/华为 P40 Pro 5G版手机官方新款旗舰店mate30 正品40荣耀P30por直降nova7全网通8,4188.00元,1131人付款,深蓝港数码旗舰店,广东 深圳
27,朵唯X11电霸超长待机智能游戏手机老年水滴全面屏老人安卓半价D19学生价pro百元128G送小米鼠oppo耳机5,499.00元,2446人付款,朵唯官方旗舰店,广东 深圳
28,Mate30 pro 全新上市正品智能手机学生价水滴屏4g全网通安卓游戏老人全面屏送小米vivooppo耳机SAILF,388.00元,2144人付款,硕王东鑫城专卖店,广东 深圳
29,DOOV/朵唯X11promax学生价游戏智能手机全面屏全网通千百元官方旗舰曲面正品网送老人老年oppo小米鼠耳机,699.00元,8500+人付款,朵唯官方旗舰店,广东 深圳
30,索爱F30Pro全网通4G智能手机6.8英寸全面屏人脸识别指纹解锁八核游戏快充学生价手机送小米vivooppo耳机,599.00元,3404人付款,进隆数码专营店,广东 深圳
31,【优惠310元】HUAWEI/华为nova 5 Pro手机4800万四摄麒麟980nova5,2499.00元,1433人付款,天猫超市,上海
32,新品上市【可减200元】华为荣耀30青春版 5G全网通官方旗舰店90Hz官网HONOR系列正品20直降X10pro现货9X分期S,1699.00元,1841人付款,同迅数码专营店,广东 深圳
33,顺丰速发【咨询好礼】Huawei/华为nova7 SE手机5G版华为官方旗舰华为手机正品新款直降mate30官网p30荣耀30s,2419.00元,727人付款,创汇通达数码旗舰店,北京
34,【优惠50元】Huawei/华为畅享20 Plus 5G手机官方旗舰店nova7新品p40pro官网semate40正品30荣耀10,2299.00元,572人付款,中国移动手机官方旗舰店,广东 广州
35,正品现货honor/荣耀 荣耀 Play4T Pro千元华为play3旗舰30S手机9X,1018.00元,488人付款,梅州铭鑫通讯,广东 深圳
36,5G新品创星mate30PRO骁龙865全网通5g学生价游戏智能手机水滴全面屏千百元曲面送老人老年oppo小米鼠耳机,999.00元,8000+人付款,广福数码专营店,广东 深圳
37,新品 华为nova8se Huawei/华为 nova 8 SE 手机 华为nova7 pro 6,2349.00元,59人付款,wezebaba,广东 深圳
38,【领券减200元】Huawei/华为nova7 Pro 5G官方正品se全网通5g手机P40MATE30旗舰店nove8pro4g全面屏智能机,3099.00元,109人付款,由你购旗舰店,广东 深圳
39,【限时6期免息】Huawei/华为 畅享20 Pro 5G手机 10plus官方旗舰店 畅想 10e mate30,1999.00元,1064人付款,中国移动手机官方旗舰店,广东 广州
40,honor/荣耀 荣耀30青春版 5G手机华为荣耀30官方正品直降30s,1499.00元,195人付款,中宽通讯行,广东 深圳
41,【当天发】Huawei/华为 Mate 40 pro+手机5G官网正品RS保时捷旗舰,6499.00元,674人付款,春江哥,四川 成都
42,华为nova7pro手机官方旗舰店正品nova7se官网nova7por5g直降nowa7pro nova7,3699.00元,279人付款,众宇通数码专营店,北京
43,华为mate30ProHUAWEI HuaWei Mate 30 5G Pro版官方店手机保时捷X,5299.00元,329人付款,国货平价网,广东 深圳
44,【限量抢购】华为/荣耀30S 麒麟820双模5G全网通3倍光学变焦学生手机商务官方荣耀,2399.00元,1095人付款,苏宁易购官方旗舰店,江苏 南京
45,现货Huawei/华为 Mate 40 pro+5G手机mate40RS保时捷设计mate30e,6168.00元,544人付款,苏苏通讯,广东 深圳
46,【百亿补贴】现货速发/华为HONOR荣耀9X PRO麒麟810手机x9荣耀9x系列官方旗舰20i正品直降9xpro学生20青春版,1399.00元,212人付款,机御旗舰店,广东 深圳
47,【百亿补贴】现货速发/华为HONOR荣耀9X PRO麒麟810手机x9荣耀9x系列官方旗舰20i正品直降9xpro学生20青春版,1399.00元,212人付款,机御旗舰店,广东 深圳
48,5G新品24期分期送手环Huawei/华为畅享20 Plus 5G官方旗舰店畅享20plus5g全网通正品10plus直降5g荣耀畅想z,2299.00元,425人付款,机御旗舰店,广东 深圳
49,【至高减250元】华为荣耀20青春版4G全网通屏幕指纹解锁麒麟芯片,1399.00元,528人付款,天猫超市,上海
50,5G新品X12Pro骁龙865全网通5g学生价游戏智能手机水滴屏千百元曲面新上市送老年人oppo小米耳机SAILF,869.00元,466人付款,嘉宇金成数码专营店,广东 深圳
51,【12期免息】huawei/华为 麦芒9 5G 华为官方旗舰店正品官网畅享20新款nova7官网p30直降p40pro 128G,2199.00元,137人付款,博海宇通数码专营店,北京
52,新品honor/荣耀 荣耀30s5G手机v30华为30pro5g版官方正品时尚拍照,2088.00元,201人付款,中宽通讯行,广东 深圳
53,Gionee/金立M30高端男士商务智能手机全面屏游戏超长待机续航10000毫安千元官方旗舰店送小米鼠oppo耳机,1399.00元,543人付款,浩瑜数码专营店,广东 深圳
54,【中国移动官旗】荣耀X10Max手机华为HONOR 5G全网通30s官方旗舰店V30青春版x10pro大屏9X,2499.00元,11人付款,中国移动官方旗舰店,浙江 杭州
55,【12期免息优惠200】HUAWEI/华为 Mate30 Pro 5G手机曲面屏麒麟990双4000万四摄官方旗舰店mate30pro5g,5699.00元,1045人付款,苏宁易购官方旗舰店,江苏 南京
56,【咨询优惠30元 】Huawei/华为畅享20 Plus 5G手机畅享20官方旗舰店10Pro畅想Z正品P40新nova7SE官网mate30,1499.00元,1452人付款,华为莫问专卖店,浙江 杭州
57,6期免息【当天发货 选送原装无线充】华为/HUAWEI Mate 30E Pro 5G手机mate30epro官方旗舰店mate40+官网RS,5299.00元,187人付款,华为莫问专卖店,浙江 杭州
58,【12期免息送耳机】华为旗下荣耀30S双模5G麒麟820全网通3倍光学变焦拍照智能上网正品,2399.00元,1.0万+人付款,荣耀官方旗舰店,广东 深圳
59,华为旗下荣耀Play4 6400万锐力四摄5G双模旗舰拍照全网通官方旗舰店天玑芯片手机X10,1799.00元,3170人付款,荣耀官方旗舰店,广东 深圳
60,当天发【12期免息送无线充】Huawei/华为Mate 30E Pro正品5G手机官方旗舰店P40官网nowa7pro直降nova8se畅享2,5299.00元,110人付款,京合旗舰店,安徽 合肥
61,当天发【6期免息咨询优惠250】Huawei/华为 P40 Pro | 5G手机官方旗舰店mate40pro新品nova7正品nova8se直降,4488.00元,761人付款,京合旗舰店,安徽 合肥
62,【限时抢购】Huawei/华为畅享20 5G芯片大电池5g手机华为手机华为官方旗舰店华为畅享205g,1499.00元,1.5万+人付款,华为官方旗舰店,广东 深圳
63,当天发货【加送好礼】Huawei/华为 Nova 7 5G手机官方6系列荣耀p30直降mate30正品p40pro旗舰店nowa全网通8se,3049.00元,1209人付款,深蓝港数码旗舰店,广东 深圳
64,当天发货【加送好礼】Huawei/华为Nova7 Pro 5G手机官方nova6系列荣耀por直降mate30正品p40旗舰店8全网通p30,3049.00元,2113人付款,深蓝港数码旗舰店,广东 深圳
65,【减100元24期分期】华为/HUAWEI Mate 40 Pro手机mate40pro+ 5G版正品官方旗舰店p40直降折叠新款保时捷40rs,7399.00元,782人付款,三际数码官方旗舰店,山东 济南
66,24期分期0首付+无线充】华为HONOR荣耀V30 Pro系列全网通正品5G手机官方旗舰店降价新品官网款v30pro5g,3128.00元,608人付款,机御旗舰店,广东 深圳
67,【双11返场抢购1599元起】华为HONOR 荣耀30青春版 5G版手机官方旗舰店20i正品x10降价9xpro荣耀20青春版30s,1699.00元,541人付款,三际数码官方旗舰店,山东 济南
68,正品P30骁龙865全网通5g手机游戏智能安卓学生价适用oppo华为耳机,468.00元,6000+人付款,原装正品手机工厂店,广东 深圳
69,顺丰当天发【直降200】Huawei/华为畅享Z 5G手机官网官方旗舰店全新畅想10Plus正品20pro直降荣耀x10全面屏款,1699.00元,234人付款,中创青云数码专营店,广东 深圳
70,现货Huawei/华为 Mate 40 Pro+陶瓷白黑5G十mate40rs保时捷plus,7758.00元,214人付款,奇异恩典0722,江苏 南京
71,直降450元Huawei/华为 畅享20 Pro 5G手机新官方旗舰店正品20plus,1488.00元,951人付款,给力不坑爹,广东 深圳
72,现货正品Huawei/华为 Mate 40 Pro+手机mate40RS保时捷旗舰Pro,6999.00元,31人付款,zwyhdz,浙江 绍兴
73,立减70元【顺丰当天发】Huawei/华为畅享20 Plus 5g手机华为官方旗舰店正品20pro畅想10官网直降荣耀x10新款,2299.00元,437人付款,松信通手机专营店,广东 深圳
74,咨询减钱/送果汁机 Huawei/华为nova 7 Pro 5G手机7pro官方旗舰店5g手机8p40/直降mate30pro/se nowa,4099.00元,323人付款,博盛景数码专营店,广东 深圳
75,新款直降华为Mate 30EproHUAWEI Huawei Mate 30 Pro 5G手机 现货,4789.00元,78人付款,ggepggr,广东 深圳
76,SAILF Mate30 pro安卓百元4g智能手机老年老人学生超薄全网通游戏备用水滴全面屏送适用vivooppo耳机,388.00元,2827人付款,简易生活数码专营店,广东 深圳
77,领券可减240元+现货发】华为HONOR 荣耀30 青春版5G手机华为官方旗舰店正品v30官网直降10max畅想20pro新款,1699.00元,441人付款,机御旗舰店,广东 深圳
78,【12期分期/顺丰当天发】Huawei/华为Nova 7 SE 5G手机活力版官方旗舰店正品nova7直降nova6se新款nova8荣耀,2399.00元,640人付款,松信通手机专营店,广东 深圳
79,新品【5000毫安大电池】华为荣耀畅玩9A 全网通官方旗舰店超长待机大音量官网正品老人智能老年畅享10e,1049.00元,1624人付款,同迅数码专营店,广东 深圳
80,【5G手机 当天发】Huawei/华为 畅享20 Plus 5G手机官网官方旗舰店正品手机5g全网通降价荣耀pro新品24期分期,2299.00元,540人付款,小淘器数码专营店,安徽 合肥
81,华为mate30epro降价HUAWEI HUAWEI Mate 30 Pro官网正品p40手机5G,4678.00元,403人付款,中宽通讯行,广东 深圳
82,【到手价2899】华为/荣耀Play4 PRO 手机5G麒麟990旗舰拍照商务全面屏官方,2899.00元,166人付款,苏宁易购官方旗舰店,江苏 南京
83,送碎屏险【当天发】honor/华为荣耀20青春版手机官方旗舰店正品全网通新款9x荣耀20pro/v30s直降x10,1199.00元,472人付款,京联通达数码旗舰店,北京
84,华为mate40pro+ Huawei/华为 Mate 40 Pro+ 5G手机 mate40保时捷,7788.00元,171人付款,京成数码商贸,北京
85,华为nova7新品Huawei/华为 nova 7 Pro 5G版手机nova7se官方旗舰,2359.00元,894人付款,中宽通讯行,广东 深圳
86,咨询领券220元 /huawei 华为畅享20pro手机中国移动官旗 mate30 nova7se 5G千元机 畅享20plus nova8se,1999.00元,645人付款,中国移动官方旗舰店,浙江 杭州
87,R20全新上市8+256G正品新款手机智能超薄水滴屏4G全网通学生价安卓游戏全面屏送小米鼠oppovivo耳机SAILF,298.00元,2033人付款,进隆数码专营店,广东 深圳
88,honor/荣耀 荣耀30 华为荣耀30PRO手机 荣耀30全网通荣耀旗舰降价,2818.00元,199人付款,辽宁东哲数码连锁,广东 深圳
89,当天发货【咨询优惠】Huawei/华为Mate 30 5G全网通官方旗舰店正品mate405g版官网新款上市p30pro直降p40,4099.00元,505人付款,京联通达数码旗舰店,北京
90,【现货速发】华为/荣耀30青春版5G手机180/90Hz柔滑全速屏高感光超清美拍正品学生,1599.00元,381人付款,苏宁易购官方旗舰店,江苏 南京
91,咨询领券150元+爱奇艺月卡/华为畅享20plus/手机华为5G手机 中国移动官旗 nova7se 荣耀x10 荣耀9x 畅想20,2299.00元,111人付款,中国移动官方旗舰店,浙江 杭州
92,顺丰速发【咨询好礼】Huawei/华为nova6 5G版华为官方旗舰店华为手机nova6se正品mate30pro全网通5g nova7se,1928.00元,552人付款,创汇通达数码旗舰店,北京
93,新品【可减300 6期分期免息】HUAWEI/华为P40Pro 5G全网通50倍曲面屏拍照手机官方旗舰店官网24期正品Mate30,5988.00元,139人付款,同迅数码专营店,广东 深圳
94,【5G手机 咨询减50】Huawei/华为畅享20 5G手机官网官方旗舰店正品手机畅享20plus5g全网通降价新款mate30,1499.00元,304人付款,小淘器数码专营店,安徽 合肥
95,P40Pro+现货直降价Huawei/华为 P40 官方正品5G手机mate30P30旗舰,3488.00元,355人付款,赛西湖,浙江 杭州
96,降1388华为正品当天发honor/荣耀 荣耀V30 Pro 5G官方旗舰手机30S,1898.00元,325人付款,梅州铭鑫通讯,广东 深圳
97,【下单减300/送碎屏保】Huawei/华为 P40 pro 5G官方旗舰店华为P40手机新品上市直降价全网通折叠mate40新款,4988.00元,255人付款,能良数码官方旗舰店,上海
98,咨询优惠【24期分期/选果汁机】 Huawei/华为nova 6 5G/4G手机官方旗舰店nova7直降mate30新款nova5/p40pro,2788.00元,164人付款,博盛景数码专营店,广东 深圳
99,直降500元Huawei/华为 华为 畅享Z 5G 新手机官方旗舰店正品20pro,1258.00元,2301人付款,龙通店,广东 深圳
100,新品华为honor/荣耀 荣耀X10 5G手机荣耀x10max官方旗舰正品9 10x,1488.00元,426人付款,绝对诚信qq464547963,广东 深圳
101,荣耀30pro 华为honor/荣耀 荣耀30 5G手机 荣耀30Pro+官方荣耀30s,2368.00元,418人付款,wezebaba,广东 深圳
102,顺丰速发【购机好礼】Huawei/华为畅享10Plus手机华为官方旗舰官网智能机9plus畅享20pro新款直降10s荣耀x10,1169.00元,549人付款,创汇通达数码旗舰店,北京
103,送网红手表保修三年免息Huawei/华为畅享205g手机官方旗舰官方正品华为荣耀10X nova7畅享20plus/pro,1499.00元,906人付款,久汇数码专营店,广东 深圳
104,【下单享好礼 顺丰速发】Huawei/华为#nova7 5G全面屏6400万四摄麒麟985智能5g中国电信官方旗舰店正品,2999.00元,66人付款,中国电信官方旗舰店,江苏 南京
105,华为p40Pro5G手机【降价740】官网正品Huawei/华为 p40 pro旗舰,3498.00元,321人付款,春江哥,四川 成都
106,华为p30pro全网通双卡4g手机HUAWEI HUAWEI P30 PRO曲屏徕卡 正品,2568.00元,275人付款,zhongjiahao88,广东 深圳
107,华为老人机4g老年智能手机大字大屏大声音超长待机电信全网通正品,599.00元,913人付款,王玉玉1234,上海
108,【拍立减50元】华为HONOR 荣耀20手机正品全面屏超广角AI四摄,2099.00元,320人付款,天猫超市,上海
109,【顺丰速发 全国联保】Huawei/华为畅享10手机官方旗舰店mate30畅享10Plus新款畅享10s正品畅享20nova7se,1129.00元,269人付款,华为莫问专卖店,浙江 杭州
110,【12期免息 咨询减800 送原装无线充】Huawei/华为P40 Pro+ 5G手机P40 Plus官方旗舰店mate30正品p30官网nova,7988.00元,73人付款,华为莫问专卖店,浙江 杭州
111,【双11返场低至1499元】华为旗下荣耀20青春版手机AMOLED屏幕指纹官方旗舰店10X正品智能,1499.00元,1569人付款,荣耀官方旗舰店,广东 深圳
112,【购机赢好礼*】华为旗下荣耀Play4T手机新品大内存官方旗舰店老人机30学生智能游戏,1278.00元,1.5万+人付款,荣耀官方旗舰店,广东 深圳
113,【当天发】Huawei/华为 nova 7 Pro 5G手机P40官方mate40pro新款nova7se旗舰店nowa8直降畅享20正品6se荣耀9x,3099.00元,1800人付款,京合旗舰店,安徽 合肥
114,【天猫直发】Huawei/华为 畅享Z 5G手机官方旗舰店nowa7se新品nova8pro官网p40直降mate30荣耀x10正品学生机,1699.00元,740人付款,京合旗舰店,安徽 合肥
115,【咨询减钱】华为honor/荣耀 荣耀30S 5G手机全网通新款正品官方旗舰店华为nova7 SE pro直降荣耀v30pro,2399.00元,863人付款,深蓝港数码旗舰店,广东 深圳
116,【双11返场抢购低至1199元起】华为HONOR荣耀20青春版 手机官方旗舰店20i正品降价9x10荣耀10青春版20s新款热,1199.00元,1182人付款,三际数码官方旗舰店,山东 济南
117,【双11返场抢购低至2199元】华为HONOR荣耀20PRO 手机降价x9新荣耀20pro直降官方旗舰店新品V30pro畅享20pro,2199.00元,1145人付款,三际数码官方旗舰店,山东 济南
118,Huawei/华为 畅享20 5G手机官方旗舰正品畅享20plus现货畅享20Pro,1649.00元,192人付款,中宽通讯行,广东 深圳
119,5G新品当天发24期分期Huawei/华为 nova7 Pro 5G手机官方旗舰店正品全网通新款p40荣耀nova7pro直降mate30,3049.00元,631人付款,机御旗舰店,广东 深圳
120,新品【加送好礼】Huawei/华为 畅享 20 5G手机官方旗舰店nova7se智能畅想10plus官网直降5g荣耀p30正品20pro,1699.00元,1021人付款,深蓝港数码旗舰店,广东 深圳
121,12期免息花呗分期付款0首付 华为HONOR荣耀30 青春版5G手机华为官方旗舰店新品官网直降正品10max畅想20pro z,1699.00元,747人付款,机御旗舰店,广东 深圳
122,领50元券【速发】华为honor/ 荣耀30S 5G手机官方旗舰店华为x10荣耀v30pro正品9x直降nova7新品5gnova7se,2499.00元,28人付款,京联通达数码旗舰店,北京
123,顺丰当天发【直降400元】Huawei/华为畅享10S手机华为官方旗舰店正品20畅享10Plus千元荣耀官网智能机10e,1258.00元,1423人付款,松信通手机专营店,广东 深圳
124,【6期免息】华为/HUAWEI P40 5G手机麒麟990芯徕卡三摄30倍变焦商务拍照官方旗舰店正品p40,4188.00元,1344人付款,苏宁易购官方旗舰店,江苏 南京
125,【限时低至1799】华为/荣耀X10 手机麒麟820双模5G90Hz全速屏官方旗舰店新品官网正品全新x10,1799.00元,2314人付款,苏宁易购官方旗舰店,江苏 南京
126,【现货速发/6期免息】Huawei/华为 P40 5G新款手机官方旗舰店p40pro正品mate30pro5g直降P30/mate40,4288.00元,314人付款,博盛景数码专营店,广东 深圳
127,【咨询优惠150】Huawei/华为 畅享20 pro5G华为官方旗舰店正品畅享20全网通荣耀X10正品P40直降,2099.00元,132人付款,京联通达数码旗舰店,北京
128,分期免息/HONOR/荣耀20 青春版直降智能机全网通4G手机华为官方旗舰店正品荣耀10青春官网mate30 P40,1119.00元,945人付款,创汇通达数码旗舰店,北京
129,12期免息【顺丰速发】Huawei/华为nova7 5G版手机正品华为官方旗舰店华为手机官网新款直降nova6荣耀30,2688.00元,415人付款,创汇通达数码旗舰店,北京
130,【领劵立减+送无线充】华为HONOR荣耀V30 Pro系列手机5G版官方旗舰店v30pro5g/por官网magic3直降,2899.00元,615人付款,博盛景数码专营店,广东 深圳
131,新品现货Huawei/华为 Mate 40 Pro+麒麟9000旗舰5G手机mate30,6499.00元,162人付款,赛西湖,浙江 杭州
132,现货HUAWEI 华为畅享10 plus 全面屏手机官方正品 畅享9 10e,1458.00元,1096人付款,赛西湖,浙江 杭州
133,华为nova6se直降HUAWEI nova 6 SE官方旗舰nova6手机nova5ipro版7,1415.00元,174人付款,一朵花的记忆,广东 深圳
134,【立减50元】Huawei/华为畅享20 Plus 5G全网通智能手机20plus5g,2399.00元,60人付款,天猫超市,上海
135,现货Huawei/华为 Mate 40 RS 保时捷设计黑白典藏版新品5G手机,15199.00元,289人付款,奇异恩典0722,江苏 南京
136,新品【已降300】华为HONOR 荣耀20青春版手机官方旗舰店10官网系列正品降价9x直降play3屏幕指纹便宜千元机30,1179.00元,1323人付款,同迅数码专营店,广东 深圳
137,honor/荣耀 荣耀X10 max5G手机 华为荣耀x10pro荣耀9x 30s荣耀10x,1468.00元,169人付款,wezebaba,广东 深圳
138,【现货速发】华为HONOR 荣耀X10 5G版手机全网通麒麟820系列10x官方旗舰店30s直降9xpro青春play4,2199.00元,34人付款,盛南连锁旗舰店,上海
139,华为mate30pro分期付款【直降】HUAWEI Huawei Mate 30 Pro 5Gp40,4899.00元,158人付款,成都长庚,四川 成都
140,华为nova5直降【当天发】HUAWEI nova 5 Pro官方Nova5i旗舰新手机,1415.00元,258人付款,一朵花的记忆,广东 深圳
141,新品【咨询减220元】华为HONOR/荣耀30Pro 30pro+ 5G全网通手机V官方旗舰店系列mate30正品nova7官网P40降价+,3999.00元,109人付款,同迅数码专营店,广东 深圳
142,官网Huawei/华为 畅享20 Plus 5G新手机官方旗舰店正品畅想20pro,1468.00元,732人付款,龙通店,广东 深圳
143,【5G版下单送豪礼】Huawei华为nova6 5G/4G麒麟990芯片青春学生新款nova7 pro官方旗舰店V30原封全新正品NFC,2899.00元,97人付款,德胜宝数码专营店,广东 深圳
144,华为honor/荣耀 荣耀9i 荣耀9青春版全面屏4G手机8X 9X 10青春20i,628.00元,422人付款,thn979712,北京
145,当天发华为畅享z新品【12期分期+选送电源/蓝牙耳机】 Huawei/华为 华为 畅享Z 5G版官方旗舰店新10plus9,1588.00元,43人付款,连盛数码专营店,广东 深圳
146,现货发顺丰[选送好礼]Huawei/华为 nova 5 Pro 新品手机官方旗舰店nova5官网nova6新款nova6se正品5G全网通6,2218.00元,114人付款,连盛数码专营店,广东 深圳
147,【现货速发】Huawei/华为nova 8 SE高配版 5G官方旗舰店华为手机nova8se系列新款正品nova7se6pro百亿补贴,2699.00元,18人付款,能良数码官方旗舰店,上海
148,honor/荣耀 荣耀X10 5G官方华为荣耀x10Max旗舰手机荣耀9x荣耀10x,2040.00元,19人付款,炫和科技,陕西 西安
149,全网通安卓5g智能手机便宜学生价oppo华为荣耀vivoSANNAING P200,468.00元,1509人付款,缔妍娜小分子活性肽,广东 深圳
150,直降 华为HUAWEI HUAWEI Mate 30 Pro 4G5G版正品手机mate30ePro,3888.00元,144人付款,南南jd,广东 深圳
151,可减200元24期分期 Huawei/华为nova7 Pro 5G手机官方旗舰店8苹果5g正品nova6直降nova7pro荣耀p30新款mate40,3699.00元,40人付款,同步飞扬数码专营店,广东 深圳
152,新品现货Huawei/华为 畅享20 Pro手机华为5G畅享20手机畅享20Plus,1628.00元,162人付款,苏苏通讯,广东 深圳
153,骁龙865全网通学生游戏安卓便宜智能手机送小米VIVO华为OPPO耳机,488.00元,1186人付款,黄春华五婶,北京
154,【天猫仓发货】下单立减100元Huawei/华为 畅享Z 5G手机官网官方旗舰店正品手机畅享20pro5g全网通,1699.00元,191人付款,小淘器数码专营店,安徽 合肥
155,华为畅享20Plus正品现货Huawei/华为 畅享20 Plus 5G智能手机pro,1699.00元,91人付款,为人民服务666,广东 深圳
156,直降1191元 华为honor/荣耀 荣耀V30 Pro5G手机v30荣耀5g版手机30,1968.00元,66人付款,wezebaba,广东 深圳
157,Huawei/华为 Mate 40 Pro+ 5G手机新品现货华为mate40RS保时捷版,6499.00元,729人付款,中宽通讯行,广东 深圳
158,华为nova5z【直降350】HUAWEI nova 5z官方旗舰新手机6nova5i pro,1088.00元,186人付款,品牌机批发店,广东 深圳
159,分期【降价现货】Huawei/华为 P40 Pro 5G正品拍照官旗手机Mate30,3313.60元,216人付款,梅州铭鑫通讯,广东 深圳
160,【P40pro 128蓝现货可闪送】Huawei/华为 P40 麒麟990 P40pro,3999.00元,150人付款,小百灵1981,北京
161,Huawei/华为P40 Pro+ 5G手机p40pro+ 5g官方正品麒麟990华为手机,7988.00元,192人付款,天猫超市,上海
162,【天猫直送 顺丰速发】Huawei华为P30手机P30Pro官方旗舰店Mate30官网nova7 SE正品P40 Pro新品,3498.00元,437人付款,华为莫问专卖店,浙江 杭州
163,【12期免息 至高优惠450 多重好礼】Huawei/华为Mate 30 Pro 5G手机Mate30官方旗舰店nova7SE正品P40Pro官网,5899.00元,76人付款,华为莫问专卖店,浙江 杭州
164,【享6期免息】华为旗下荣耀30青春版新品手机柔滑全速屏超清美拍智能游戏学生5g手机,1899.00元,3905人付款,荣耀官方旗舰店,广东 深圳
165,【优惠高达800元】华为旗下荣耀V30双模5G麒麟990旗舰芯片李现同款PRO拍照手机官方正品,2899.00元,2449人付款,荣耀官方旗舰店,广东 深圳
